Name,Team,Cl,Ht,Pos,Games,GoalieGames,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GameWinningGoals,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,PKGoals,PKAttempts,PKPct,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,Shutouts,GoalieMinutes,GoalsAgainst,GAA
Noeh Hernandez,DePaul,Jr.,5-9,F,16,,3,,,,,,,48,3.00,18,1.13,0.375,1,2,0.500,0,0,,,,,,,
Daniel Idiakhoa,LMU (CA),So.,5-9,M,10,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Dan Karsten,Rutgers,So.,6-2,F,16,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Santiago Marin,Central Conn. St.,Fr.,-,M,9,,,,,,,,,,,,,,1,2,0.500,3,0,,,,,,,
Alfredo Ortiz,California,Sr.,5-5,D,18,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Oscar Perez,UMass Lowell,Sr.,6-0,D,14,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Rui Reis,UIC,Sr.,5-9,M,18,,2,,,,,,,55,3.06,21,1.17,0.382,1,2,0.500,3,0,,,,,,,
Paolo Roditti,Cleveland St.,Jr.,6-4,M,19,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Luke Schierenbeck,Quinnipiac,Sr.,6-3,D,15,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Damian Segura,Drake,Jr.,5-8,M,11,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Connor Miller,Cornell,Jr.,5-8,M,20,,,,6,0.30,,,,,,,,,0,2,0.000,0,0,,,,,,,
William Pierce,Fairfield,Sr.,5-9,M,18,,,,,,,,,,,,,,0,2,0.000,3,0,,,,,,,
Filip Arras,CSU Bakersfield,Jr.,6-1,D,17,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Tyson Aschliman,IU Indy,So.,6-0,D,17,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Louis Beckett,UNC Asheville,Sr.,5-11,M,15,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Alessandro Bedei,Merrimack,Sr.,6-0,D,16,,,,,,,,,,,,,,0,1,0.000,3,0,,,,,,,
Fabrizio Bernal de la Garza,Xavier,Sr.,5-10,F,14,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Roy Biegon,Lafayette,Jr.,6-1,F,12,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Ethan Blake,Lindenwood,Sr.,5-9,F,21,,5,,6,,16,,4,,,,,,0,1,0.000,0,0,,,,,,,
Elie Bokota,LMU (CA),Sr.,6-0,M,16,,,,,,,,,,,,,,0,1,0.000,5,1,,,,,,,
Liam Corr,Mercer,Jr.,5-8,M,18,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Luca Costabile,Maryland,Sr.,5-11,D,19,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Jesus De Vicente,Virginia,Sr.,5-11,D,19,,,,7,0.37,,,,,,,,,0,1,0.000,4,0,,,,,,,
Nelson Dongmo,LIU,Fr.,6-2,F,14,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Ty Duax,Western Ill.,So.,5-9,FM,20,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Grayson Elmquist,Michigan,Jr.,6-1,F,16,,6,0.38,,,,,,36,2.25,,,,0,1,0.000,0,0,,,,,,,
Inaki Esnaola,UMass Lowell,Sr.,5-8,F,18,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Rylan Firouznam,Cal Poly,So.,5-9,M,18,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Alex Fleury,Stony Brook,Jr.,6-0,M,19,,,,7,0.37,,,,,,,,,0,1,0.000,0,0,,,,,,,
Lucho Galizzi,Memphis,Sr.,6-0,F,15,,,,6,0.40,,,,,,,,,0,1,0.000,0,0,,,,,,,
Wes Gibson,SIUE,Sr.,6-1,D,19,,,,,,,,,,,,,,0,1,0.000,5,0,,,,,,,
Jamin Gogo Peters,Brown,Sr.,-,F,15,,,,,,,,,,,,,,0,1,0.000,3,0,,,,,,,
Josemir Gomez,Butler,Sr.,6-2,F,14,,,,,,,,,,,,,,0,1,0.000,5,0,,,,,,,
Jose Gomez,NIU,Sr.,5-10,M,17,,,,6,0.35,,,,,,,,,0,1,0.000,0,0,,,,,,,
Ben Griffis,Eastern Ill.,Sr.,6-1,M,17,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Anton Hjalmarsson,Portland,Jr.,6-1,F,17,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Elijah John,Liberty,Jr.,5-8,D,19,,,,5,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Roman Kedgley,Wright St.,Sr.,5-9,D,15,,,,,,,,,,,,,,0,1,0.000,5,0,,,,,,,
Aidan Kelly,Massachusetts,Sr.,-,D,14,,,,,,,,,,,17,1.21,,0,1,0.000,3,1,,,,,,,
Anton Khelil,North Florida,So.,6-3,M,18,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Tony Kim,UAB,Jr.,-,F,15,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Will Kirchhofer,Southern Ind.,Jr.,5-6,M,14,,,,,,,,,,,,,,0,1,0.000,3,0,,,,,,,
Philip Kleemann,Washington,Jr.,6-4,D,5,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Lovro Kostanj?ek,Rider,Sr.,5-11,FM,17,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Nick Legendre,UNLV,Jr.,5-9,F,16,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Jack Lucas,Bucknell,Jr.,6-0,MD,18,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Richie Ludwig,Michigan St.,Jr.,5-11,F,15,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Ayman Maadir,Davidson,Jr.,6-2,D,15,,,,,,,,,,,,,,0,1,0.000,3,0,,,,,,,
Jesus Macaya,Longwood,Jr.,6-0,M,16,,,,6,0.38,,,,,,,,,0,1,0.000,0,0,,,,,,,
Andres Mata,Stetson,Sr.,5-9,M,17,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Filipe Matos,Campbell,Jr.,5-7,M,19,,,,,,,,,,,,,,0,1,0.000,3,0,,,,,,,
Jordan Matthews,Lindenwood,Sr.,5-8,FM,16,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Sachiel Ming,Syracuse,So.,5-7,FM,20,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Joao Neves,Tulsa,Sr.,5-10,F,11,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Bright Nutornutsi,Syracuse,Sr.,5-10,F,18,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Nicholas Nyquist,Harvard,Sr.,6-2,F,11,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Reyes Parra,American,Jr.,5-7,M,18,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Umberto Pelà,Virginia,Sr.,5-11,M,17,,,,6,0.35,,,,,,,,,0,1,0.000,4,0,,,,,,,
Alex Perez,Virginia Tech,So.,5-10,M,16,,,,5,0.31,,,,,,,,,0,1,0.000,0,0,,,,,,,
Martin Piedeleu,Siena,Fr.,5-8,M,19,,4,,7,0.37,15,,,40,,17,,0.425,0,1,0.000,3,0,,,,,,,
Blake Pipkin,Colgate,So.,5-7,F,17,,1,,,,,,,37,2.18,14,,0.378,0,1,0.000,0,0,,,,,,,
Agustin Resch,Seton Hall,Sr.,6-6,D,19,,,,,,,,,,,,,,0,1,0.000,5,0,,,,,,,
Austin Rocke,Rhode Island,Sr.,5-11,M,4,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Piero Sabroso,Western Mich.,Sr.,6-4,F,15,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Andrey Salmeron,VCU,Jr.,5-10,M,17,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Youssef Shafei,Central Conn. St.,Fr.,-,F,14,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Jake Smith,Denver,Sr.,6-0,M,19,,,,,,,,,,,,,,0,1,0.000,4,0,,,,,,,
Alander Soares,Lindenwood,So.,5-10,F,19,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Chad Sovde,Washington,So.,6-1,M,10,,,,,,,,,,,,,,0,1,0.000,3,0,,,,,,,
Ryan Suckling,ETSU,Sr.,6-1,D,13,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Caden Tolentino,NC State,Sr.,5-9,M,19,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Hugo Urdiales,Loyola Chicago,Sr.,6-1,F,14,,,,,,,,,31,2.21,,,,0,1,0.000,0,0,,,,,,,
Lex Vaughan,Saint Peter's,Sr.,5-11,M,10,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Trevor Walk,Utah Valley,Jr.,6-2,FM,13,,,,,,,,,,,,,,0,1,0.000,3,0,,,,,,,
Jonah Wolf,Saint Francis,So.,6-1,M,16,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Kasper Wollstein,Cornell,So.,6-3,F,20,,,,,,,,,,,,,,0,1,0.000,0,0,,,,,,,
Juan Zepeda,San Diego St.,So.,6-3,F,18,,4,,,,,,,37,,15,,0.405,0,1,0.000,3,0,,,,,,,
Mamadi Jiana,Bryant,Sr.,6-0,F,21,,7,,4,,18,,,54,2.57,25,1.19,0.463,,,,6,0,,,,,,,
Jack Roman,Akron,So.,5-7,M,21,,6,,6,,18,,,53,2.52,,,,,,,0,0,,,,,,,
Alex Hall,Washington,So.,5-11,M,24,,5,,8,0.33,18,,,,,23,0.96,,,,,3,0,,,,,,,
Taig Healy,NC State,Sr.,5-7,M,22,,5,,8,0.36,18,,,72,3.27,31,1.41,0.431,,,,0,0,,,,,,,
Sergio Zapata,Cornell,Fr.,5-9,F,20,,6,,5,,17,,3,,,,,,,,,0,0,,,,,,,
Giacomo Zizza,Lehigh,So.,-,M,20,,4,,9,0.45,17,,,51,2.55,21,1.05,0.412,,,,3,0,,,,,,,
Remi Agunbiade,Akron,So.,6-1,F,20,,7,0.35,2,,16,,3,,,,,,,,,4,0,,,,,,,
Milton Lopez,SMU,Jr.,5-11,F,20,,7,0.35,2,,16,,3,,,,,,,,,3,0,,,,,,,
Paco Fernandez,Bryant,Fr.,5-6,-,22,,6,,4,,16,,3,,,,,,,,,0,0,,,,,,,
Bardia Hormozi,Princeton,Jr.,5-10,FM,19,,6,,4,,16,,3,64,3.37,24,1.26,0.375,,,,0,0,,,,,,,
Ethan Gill,Boston U.,Sr.,6-3,M,18,,7,0.39,1,,15,,,,,,,,,,,0,0,,,,,,,
Luc Granitur,North Florida,Sr.,5-10,F,19,,7,0.37,1,,15,,,,,,,,,,,3,0,,,,,,,
Trevor Islam,Stanford,So.,5-7,M,18,,6,,3,,15,,,,,19,1.06,,,,,0,0,,,,,,,
Daniel Lang,Fordham,So.,6-1,D,18,,6,,3,,15,,,,,,,,,,,0,0,,,,,,,
Will Wiersdorf,Santa Clara,Jr.,5-8,M,18,,6,,3,,15,,,48,2.67,23,1.28,0.479,,,,0,0,,,,,,,
Steven Hernandez,UNC Greensboro,Jr.,5-9,F,22,,5,,5,,15,,,,,,,,,,,0,0,,,,,,,
Luke Hutzell,Furman,So.,5-10,M,22,,5,,5,,15,,,,,,,,,,,7,0,,,,,,,
Michael Ramirez,Michigan,Fr.,5-10,F,19,,5,,5,,15,,,,,,,,,,,0,0,,,,,,,
Carl Romberg,Marshall,Jr.,5-9,F,21,,5,,5,,15,,,,,,,,,,,0,0,,,,,,,
Jose de la Torre,Cal St. Fullerton,So.,5-7,M,20,,4,,7,0.35,15,,,72,3.60,23,1.15,,,,,0,0,,,,,,,
Cameron Gerber,Fairfield,Jr.,5-11,M,18,,3,,9,0.50,15,,,,,,,,,,,0,0,,,,,,,
Mads Horgoien,Marquette,Fr.,5-10,F,14,,6,0.43,,,,,3,,,,,,,,,0,0,,,,,,,
Wahabu Musah,Clemson,So.,6-0,F,15,,6,0.40,,,,,,36,2.40,,,,,,,0,1,,,,,,,
Eduardo Mustre,FIU,Sr.,5-10,F,15,,6,0.40,,,,,,32,2.13,,,,,,,0,0,,,,,,,
Zsombor Pall,Stetson,Jr.,-,F,16,,6,0.38,,,,,,,,,,,,,,0,0,,,,,,,
Jaylen Orr,Gardner-Webb,Sr.,-,F,14,,5,0.36,,,,,,,,,,,,,,0,0,,,,,,,
Romeo Dahlen,Penn,So.,5-11,F,17,,6,0.35,,,,,,,,,,,,,,0,0,,,,,,,
Daniil Kaban,Howard,So.,6-1,F,17,,6,0.35,,,,,,,,,,,,,,3,0,,,,,,,
Prosper Adagani,High Point,Fr.,5-11,F,20,,6,,,,,,,,,,,,,,,3,0,,,,,,,
Jaime Barbero,FDU,Sr.,5-9,F,21,,6,,,,,,5,48,2.29,25,1.19,0.521,,,,4,0,,,,,,,
Leo Conneh,Liberty,Jr.,5-7,F,20,,6,,,,,,,40,,19,0.95,0.475,,,,0,0,,,,,,,
Buba Fofanah,UC Santa Barbara,Sr.,5-9,F,18,,6,,,,,,,,,,,,,,,3,0,,,,,,,
Iragi Kalala,Presbyterian,Sr.,5-4,M,18,,6,,,,,,,,,,,,,,,0,0,,,,,,,
Dan Klink,North Carolina,Fr.,6-4,F,14,,6,,,,,,,,,,,,,,,0,0,,,,,,,
Adam Poliakov,Harvard,Fr.,6-0,F,10,,6,,,,,,,,,,,,,,,0,0,,,,,,,
Jaxon Reinhardt,North Florida,Sr.,6-0,F,19,,6,,,,,,,,,,,,,,,0,0,,,,,,,
Philip Naef,UCLA,Jr.,5-11,M,19,,,,11,0.58,,,,,,,,,,,,0,0,,,,,,,
Freddy Jeffreys,Delaware,Fr.,5-7,M,16,,,,9,0.56,,,,,,,,,,,,0,0,,,,,,,
Keegan Oyler,Utah Valley,Sr.,6-1,MD,15,,,,8,0.53,,,,,,,,,,,,0,0,,,,,,,
Marco Dos Santos,Virginia,Jr.,5-9,F,19,,,,10,0.53,,,,,,,,,,,,4,0,,,,,,,
Stefano Campisi,Hofstra,Sr.,5-8,M,20,,,,10,0.50,,,,,,,,,,,,0,0,,,,,,,
Remi Okunlola,Clemson,Jr.,5-11,F,16,,,,8,0.50,,,,,,,,,,,,0,0,,,,,,,
Pearse O'Brien,Providence,Jr.,5-9,M,14,,,,6,0.43,,,,,,,,,,,,3,0,,,,,,,
Gilberto Rivera,San Jose St.,Jr.,5-10,M,19,,,,8,0.42,,,,,,,,,,,,8,0,,,,,,,
Pharis Petrica,Boston U.,So.,5-9,M,17,,,,7,0.41,,,,,,,,,,,,6,0,,,,,,,
Yoshiki Igarashi,Omaha,Sr.,5-11,M,15,,,,6,0.40,,,,,,,,,,,,0,0,,,,,,,
Sven Meacham,Yale,So.,5-11,D,15,,,,6,0.40,,,,,,,,,,,,0,0,,,,,,,
Riley Moloney,NC State,Fr.,-,D,23,,,,9,0.39,,,,,,,,,,,,5,0,,,,,,,
Sergio Gonzalez Fernandez,George Mason,Sr.,5-9,M,13,,,,5,0.38,,,,,,,,,,,,0,0,,,,,,,
Sota Nakazono,UIC,Jr.,5-10,D,16,,,,6,0.38,,,,,,,,,,,,0,0,,,,,,,
Carlos Nevarez,UIC,So.,5-9,M,16,,,,6,0.38,,,,,,,,,,,,0,0,,,,,,,
Thomas Raimbault,Wisconsin,Sr.,5-11,F,16,,,,6,0.38,,,,,,,,,,,,0,0,,,,,,,
Calem Tommy,NC State,Sr.,5-9,D,22,,,,8,0.36,,,,,,,,,,,,6,0,,,,,,,
Jemone Barclay,Charlotte,Sr.,6-1,D,14,,,,5,0.36,,,,,,,,,,,,0,0,,,,,,,
Berkay Duman,ETSU,Fr.,-,M,14,,,,5,0.36,,,,,,,,,,,,0,0,,,,,,,
Eric Martinez,UC Riverside,Fr.,5-8,F,14,,,,5,0.36,,,,,,,,,,,,0,0,,,,,,,
Morgan Worsfold-Gregg,Drexel,So.,5-10,M,14,,,,5,0.36,,,,,,,,,,,,5,0,,,,,,,
Julian Jakopovic,St. John's (NY),Sr.,6-1,M,17,,,,6,0.35,,,,,,,,,,,,3,0,,,,,,,
Ander Marticorena,UCLA,Fr.,-,M,17,,,,6,0.35,,,,,,,,,,,,4,0,,,,,,,
Alejandro Martinez Santamaria,Northwestern,Sr.,5-10,F,17,,,,6,0.35,,,,,,,,,,,,0,0,,,,,,,
Roko Branko Mrvelj,UAlbany,Fr.,-,M,17,,,,6,0.35,,,,,,,,,,,,0,0,,,,,,,
Nico Nee,Oregon St.,Sr.,5-10,F,17,,,,6,0.35,,,,,,,,,,,,0,0,,,,,,,
Nathan Rodrigues,LMU (CA),Jr.,5-11,D,17,,,,6,0.35,,,,,,,,,,,,0,0,,,,,,,
Gabin Thomelier,St. John's (NY),Jr.,-,F,17,,,,6,0.35,,,,,,,,,,,,0,0,,,,,,,
Perry Blay,Liberty,Jr.,5-6,D,20,,,,7,0.35,,,,,,,,,,,,3,0,,,,,,,
Celestin Blondel,High Point,Sr.,5-5,F,20,,,,7,0.35,,,,,,,,,,,,0,0,,,,,,,
Ayoub Lajhar,UConn,Jr.,6-0,D,20,,,,7,0.35,,,,,,,,,,,,4,0,,,,,,,
Luca Nikolai,North Carolina,Jr.,6-1,D,20,,,,7,0.35,,,,55,2.75,,,,,,,0,0,,,,,,,
Takuto Nishide,FDU,Sr.,-,-,20,,,,7,0.35,,,,,,,,,,,,0,0,,,,,,,
Nolan Spicer,Notre Dame,Jr.,5-8,M,20,,,,7,0.35,,,,,,,,,,,,0,0,,,,,,,
Lorenzo Amaral,Brown,Jr.,-,F,15,,2,,5,0.33,,,,37,2.47,14,,0.378,,,,0,0,,,,,,,
Iker Carbonell,Oregon St.,So.,-,D,15,,,,5,0.33,,,,,,,,,,,,0,0,,,,,,,
Michael Eberle,Old Dominion,Sr.,6-2,F,18,,,,6,0.33,,,,,,,,,,,,0,0,,,,,,,
Daniel Escorcia,SMU,Sr.,-,M,18,,,,6,0.33,,,,,,,,,,,,3,0,,,,,,,
Kaiss Mansouri,North Florida,So.,5-8,F,18,,,,6,0.33,,,,,,,,,,,,0,0,,,,,,,
Aidan Martinez,Wisconsin,Fr.,6-1,M,15,,,,5,0.33,,,,,,,,,,,,0,0,,,,,,,
Eben McIntyre,Memphis,Jr.,6-3,F,15,,,,5,0.33,,,,,,,,,,,,0,0,,,,,,,
Chris Morandi,Iona,Sr.,5-10,M,18,,,,6,0.33,,,,,,,,,,,,0,0,,,,,,,
Tony Murphy,Southern Ind.,Fr.,5-8,M,15,,,,5,0.33,,,,,,,,,,,,0,0,,,,,,,
Jaden Prado,Northeastern,Jr.,5-10,D,15,,,,5,0.33,,,,,,,,,,,,4,0,,,,,,,
Rocket Ritarita,Maryland,Fr.,5-9,F,18,,,,6,0.33,,,,,,,,,,,,3,0,,,,,,,
Isaac Scheer,West Virginia,So.,5-10,M,21,,,,7,0.33,,,,,,,,,,,,0,0,,,,,,,
Ryan Clanton-Pimentel,SMU,So.,5-6,M,19,,,,6,0.32,,,,,,,,,,,,0,0,,,,,,,
Jack Jasinski,Princeton,Sr.,6-1,M,19,,,,6,0.32,,,,,,,,,,,,0,0,,,,,,,
Claudel N'goubou,UCF,Sr.,6-5,F,19,,,,6,0.32,,,,,,,,,,,,0,0,,,,,,,
Collins Oduro,Indiana,Jr.,5-7,F,19,,,,6,0.32,,,,48,2.53,,,,,,,0,0,,,,,,,
Alex Parvu,Virginia,So.,6-2,D,19,,,,6,0.32,,,,,,,,,,,,0,0,,,,,,,
Kalle Rahbeck,Wofford,So.,5-10,M,19,,,,6,0.32,,,,,,,,,,,,0,0,,,,,,,
Beau Yantz,High Point,Sr.,5-11,D,19,,,,6,0.32,,,,,,,,,,,,0,0,,,,,,,
Jaylen Yearwood,North Florida,Sr.,6-0,M,19,,,,6,0.32,,,,,,,,,,,,3,0,,,,,,,
Baylen Young,Davidson,Sr.,5-11,M,19,,,,6,0.32,,,,,,,,,,,,0,0,,,,,,,
Russell Brown,Boston College,Jr.,6-2,F,16,,,,5,0.31,,,,,,,,,,,,3,0,,,,,,,
Caden Grabfelder,Penn St.,Jr.,6-0,M,16,,2,,5,0.31,,,,32,,12,,0.375,,,,0,1,,,,,,,
Adriano Iannello,Marist,Fr.,5-8,F,16,,,,5,0.31,,,3,,,,,,,,,0,0,,,,,,,
Ben Kelly,Harvard,Jr.,6-2,F,16,,,,5,0.31,,,,,,,,,,,,0,0,,,,,,,
Luciano Pechota,Ohio St.,Sr.,5-6,M,16,,,,5,0.31,,,,,,,,,,,,4,0,,,,,,,
Jonathan Salguero,Marist,Sr.,5-8,M,16,,,,5,0.31,,,,,,,,,,,,0,0,,,,,,,
Yasha Schaerer,Marshall,Jr.,5-8,M,16,,,,5,0.31,,,,,,,,,,,,0,0,,,,,,,
Lucas Shearer,Central Ark.,Sr.,6-1,M,16,,,,5,0.31,,,,,,,,,,,,0,0,,,,,,,
Arion Ulaj,Marist,Jr.,6-2,M,16,,,,5,0.31,,,,,,,,,,,,3,0,,,,,,,
Dominic Zuniga,Milwaukee,Jr.,5-11,M,16,,,,5,0.31,,,,,,,,,,,,0,0,,,,,,,
Charles-Emile Brunet,SMU,So.,5-8,M,20,,,,6,0.30,,,,,,,,,,,,4,0,,,,,,,
Tyler Caton,NC State,Jr.,5-11,M,20,,,,6,0.30,,,,,,,,,,,,3,1,,,,,,,
Ben Assane Fall,Grand Canyon,Sr.,6-2,F,20,,,,6,0.30,,,,,,,,,,,,0,0,,,,,,,
Aidan Martin,Cornell,So.,5-9,D,20,,,,6,0.30,,,,,,,,,,,,0,0,,,,,,,
Jaylinn Mitchell,SMU,Jr.,5-8,M,20,,,,6,0.30,,,,,,,,,,,,0,0,,,,,,,
Joshua Partal,Stanford,Fr.,6-2,M,20,,,,6,0.30,,,,,,,,,,,,0,0,,,,,,,
Malick Thiaw,UCF,Sr.,6-0,F,20,,,,6,0.30,,,,,,,,,,,,0,0,,,,,,,
Kofi Amoah,UMBC,Sr.,5-5,F,17,,,,5,0.29,,,,,,,,,,,,0,0,,,,,,,
Paul Claes Nielsen,Belmont,Fr.,6-2,M,17,,,,5,0.29,,,,,,,,,,,,4,0,,,,,,,
Simon Diagana,Santa Clara,So.,5-9,F,17,,,,5,0.29,,,,,,,,,,,,0,0,,,,,,,
Giorgos Diakos,Cornell,Sr.,-,F,17,,3,,5,0.29,,,,42,2.47,19,1.12,0.452,,,,0,0,,,,,,,
Nick Harshaw,Bellarmine,So.,5-9,M,17,,,,5,0.29,,,,,,,,,,,,0,0,,,,,,,
Jaxson Lee,Robert Morris,So.,6-5,D,17,,,,5,0.29,,,,,,,,,,,,0,0,,,,,,,
Tizian Marth,California Baptist,So.,5-8,M,17,,,,5,0.29,,,,,,,,,,,,0,0,,,,,,,
Andreas Savva,Harvard,Jr.,5-10,F,17,,4,,5,0.29,,,,34,,13,,0.382,,,,0,0,,,,,,,
Joseph Umberto Picotto,Maryland,Sr.,6-2,M,14,,,,7,,,,,,,,,,,,,0,0,,,,,,,
Ethan Dekel Daks,West Virginia,Sr.,5-9,M,21,,2,,6,,,,,45,2.14,19,,0.422,,,,0,0,,,,,,,
Alex Kryazhev,Old Dominion,Sr.,6-1,F,12,,,,6,,,,,,,,,,,,,0,0,,,,,,,
Daniel Longo,UNC Greensboro,Sr.,6-0,M,23,,,,6,,,,,,,,,,,,,4,0,,,,,,,
Mateo Ponce Ocampo,Georgetown,Jr.,5-9,M,22,,,,6,,,,,,,,,,,,,0,0,,,,,,,
Fabian Straudi,Oregon St.,Sr.,5-9,M,8,,,,6,,,,,,,,,,,,,0,0,,,,,,,
Jared Aguilar,Tulsa,Jr.,5-9,M,18,,,,5,,,,,,,,,,,,,4,0,,,,,,,
Andrew Armstrong,Dayton,So.,6-0,F,18,,4,,5,,,,,39,2.17,15,,0.385,,,,0,0,,,,,,,
Alfred Baafi,High Point,Jr.,5-8,F,19,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Travis Babineau,UC Irvine,Sr.,5-8,D,21,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Fletcher Bank,Stanford,Sr.,5-10,M,20,,4,,5,,,,,41,,17,,0.415,,,,0,0,,,,,,,
Liam Beckwith,Princeton,Jr.,6-0,M,19,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Joackim Betina,Kansas City,Sr.,5-10,D,21,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Nicholas Cassiday,Michigan,Sr.,5-8,M,20,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Jack Civitts,Cal Poly,Jr.,6-0,F,20,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Joe Dale,Washington,Jr.,5-9,M,24,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Tiago Dias,Bryant,Sr.,6-3,-,21,,,,5,,,,,,,,,,,,,4,1,,,,,,,
Joao Domingues,FIU,Sr.,5-7,M,19,,,,5,,,,,,,,,,,,,4,0,,,,,,,
Taj Eagleston,San Diego,So.,5-10,M,19,,,,5,,,,,,,,,,,,,4,0,,,,,,,
Aloni Elfu,Presbyterian,Fr.,5-8,M,18,,,,5,,,,,,,,,,,,,3,0,,,,,,,
Matthew Fisher,Michigan,Jr.,5-9,D,19,,,,5,,,,,,,,,,,,,4,0,,,,,,,
Sebastian Garces,American,Sr.,5-9,M,18,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Leandro Haesler,Lindenwood,Sr.,6-3,D,20,,,,5,,,,,,,,,,,,,4,0,,,,,,,
Issah Haruna,UNC Greensboro,So.,5-6,M,21,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Ashton Kamdem,Akron,Sr.,5-10,D,21,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Drew Kerr,Duke,Sr.,6-0,M,20,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Sebastian Khoury,UIC,So.,5-7,M,12,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Nicolas Loebus,Vermont,Fr.,6-2,M,20,,,,5,,,,,,,,,,,,,3,0,,,,,,,
Justin Mclean,NC State,Sr.,6-0,M,22,,,,5,,,,,52,2.36,,,,,,,4,1,,,,,,,
Andrew Millar,Vermont,Jr.,6-2,M,20,,,,5,,,,,,,,,,,,,3,0,,,,,,,
Tyler Morck,Akron,So.,5-8,M,19,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Chris Niblock,High Point,So.,5-7,M,20,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Shakir Nixon,UCLA,So.,5-11,D,19,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Thengill Orrason,Hofstra,So.,6-2,D,19,,,,5,,,,,,,,,,,,,0,1,,,,,,,
Bryce Outman,Kansas City,Fr.,5-7,F,21,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Marcell Papp,Vermont,Sr.,5-8,F,20,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Aidan Payne,NC State,Jr.,6-1,F,23,,,,5,,,,,,,,,,,,,3,0,,,,,,,
Uzman Ramees,Cleveland St.,Fr.,5-10,M,19,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Fermin Rodriguez,Bryant,Sr.,5-9,-,22,,,,5,,,,,,,,,,,,,0,0,,,,,,,
Mark Romano,North Florida,So.,6-0,M,12,,,,5,,,,,,,,,,,,,0,0,,,,,,,
